3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-16.555088,20210722-060214,20210722,060214,-12.067388,0.0,3.0,3.0,1.0,9.0,233.911133,0.323367,16.0,22.489281,2.376842,2.376842,35.134724,1.0,0.0,1.033943,0.0,-99900.0,0.0,0.0,0.0,2.376842,1.209899,0.885372,24.964476,121.607704,-16.007769,-10.3887,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.486406,1.021277,16.0,0.0,0.0,17.291687,-99900.0,0.0,-99900.0,3.371125,3.371125,-99900.0
-18.109852,20210722-060820,20210722,060820,-17.029289,0.0,9.0,3.0,2.0,10.0,226.761658,0.230184,16.0,41.835342,3.729747,3.729747,63.12302,1.0,0.0,1.73538,0.0,-99900.0,0.685372,0.254,0.254,3.729747,1.676077,1.39471,24.919853,121.592308,-17.36977,-14.436595,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.85887,1.021277,16.0,1.0,0.120259,17.397858,14.207091,0.0,-0.004248,5.60518,5.60518,-0.013557
-20.204214,20210722-061425,20210722,061425,-22.312958,0.0,15.0,3.0,3.0,8.0,222.160934,0.288151,16.0,51.998238,4.461576,4.461576,64.481903,1.0,0.0,1.781355,0.0,-99900.0,0.638905,0.508,0.508,4.461576,1.891314,1.730849,24.872335,121.571564,-19.33696,-19.452499,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.101135,1.021739,16.0,2.0,0.506402,19.60321,14.877981,0.0,-0.004992,6.282736,6.282736,-0.014016
-22.035082,20210722-062031,20210722,062031,-27.624947,0.0,21.0,2.0,4.0,15.0,218.578003,0.346297,16.0,41.769215,4.172984,4.172984,86.011452,1.0,0.0,1.707556,0.0,-99900.0,0.182309,0.0,0.0,4.172984,2.144941,1.136694,24.824564,121.553444,-21.227951,-24.010574,41.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.3367,1.146341,16.0,3.0,0.034379,19.632416,15.088324,0.0,-0.005069,4.539273,4.539273,-0.014211
-23.218727,20210722-062637,20210722,062637,-32.372299,0.0,27.0,2.0,5.0,14.0,215.649963,1.320975,16.0,48.125347,3.896969,3.896969,148.91481,1.0,0.0,1.40625,0.0,-99900.0,0.81077,0.0,0.0,3.896969,2.069709,1.65871,24.78187,121.54174,-23.067791,-31.354803,41.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.838108,1.121951,16.0,4.0,0.0,18.619568,14.775313,0.0,-0.004718,2.166005,2.166005,-0.014002
-24.018589,20210722-063243,20210722,063243,-37.935066,0.0,33.0,2.0,6.0,23.0,212.340286,1.493947,16.0,33.910828,4.221368,4.221368,116.04866,1.0,0.0,0.874721,0.0,-99900.0,1.025059,0.0,0.0,4.221368,2.148735,1.996431,24.731844,121.533852,-23.819117,-36.555534,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,44.899464,1.0,16.0,5.0,0.0,16.777344,14.740822,0.0,-0.004255,1.880902,1.880902,-0.014113
-24.755308,20210722-064052,20210722,064052,-42.526058,0.0,41.0,3.0,7.0,21.0,210.204926,1.683456,16.0,23.683426,3.708834,3.708834,75.439102,1.0,0.0,1.036726,0.0,-99900.0,2.672899,0.0,0.0,3.708834,2.278095,2.803068,24.690556,121.526588,-24.941433,-41.826233,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.206612,1.025,16.0,6.0,0.008094,14.260132,13.719621,0.0,-0.003379,1.775124,1.775124,-0.013297
-25.762869,20210722-064658,20210722,064658,-47.976707,0.0,47.0,3.0,8.0,10.0,208.23558,1.896581,16.0,28.344633,4.011037,4.011037,75.975494,1.0,0.0,0.930236,0.0,-99900.0,0.627406,0.254,0.254,4.011037,2.563451,2.474835,24.641537,121.516655,-26.156647,-47.577282,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.45631,1.02381,16.0,7.0,0.189065,11.568848,13.177094,0.0,-0.002643,2.552161,2.552161,-0.012909
-26.606363,20210722-065303,20210722,065303,-52.989159,0.0,53.0,4.0,9.0,22.0,206.662018,2.08382,16.0,24.774054,3.495147,3.495147,61.894363,1.0,0.0,0.658035,0.0,-99900.0,0.323988,0.0,0.0,3.495147,2.333327,2.08382,24.596458,121.508339,-26.671114,-52.765564,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.293755,1.0,16.0,8.0,0.0,9.924988,12.974943,0.0,-0.002236,1.192683,1.192683,-0.012781
-26.430185,20210722-065907,20210722,065907,-56.924255,0.0,59.0,0.0,10.0,34.0,204.906021,1.239574,16.0,5.953088,1.685872,1.685872,24.678371,1.0,0.0,0.226801,0.0,-99900.0,1.222598,0.0,0.0,1.685872,1.352418,1.685872,24.561069,121.510124,-26.397791,-56.86042,38.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.76086,1.052632,16.0,9.0,0.0,8.185913,12.690121,0.0,-0.001807,0.552146,0.552146,-0.012561
-26.915239,20210722-070513,20210722,070513,-59.5299,1.0,6.0,4.0,11.0,19.0,204.329514,0.844419,16.0,7.162138,1.315988,1.315988,16.6367,1.0,0.0,0.259809,0.0,-99900.0,1.9994,0.0,0.0,1.315988,0.946411,0.844419,24.537636,121.505341,-26.843742,-59.400066,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.331757,1.0,16.0,10.0,0.0,7.472565,11.748698,0.0,-0.001528,1.405049,1.405049,-0.011649
